feature,abs_correlation_with_target,missing_values,unique_values
FE_inv_sensor_distance_cu,0.4505381826473481,0,9822
FE_sensor_id_center_distance,0.4496302006154892,0,14
FE_inv_sensor_distance_sq,0.4396748870298182,0,9822
FE_inv_sensor_distance,0.42037395102091807,0,9818
FE_log_sensor_3d_distance,0.39444971378435206,0,9799
FE_sensor_3d_distance_origin,0.3782097480597084,0,8978
FE_vapour_volume_ratio_proxy,0.37552098809565315,0,8978
FE_vapour_volume_proxy,0.3728269659517714,0,8286
FE_sensor_3d_distance_bleve,0.3645083767468812,0,9823
FE_sensor_distance_minus_obstacle_distance,0.35476851232838946,0,9908
FE_log_pressure_x_vapour_volume,0.33581573612992993,0,9949
FE_sensor_planar_distance,0.32082060200133133,0,3615
FE_tank_volume_box,0.2859753244593286,0,8453
FE_sensor_far_flag,0.28413170307862606,0,2
FE_abs_sensor_x,0.280849206786324,0,306
Sensor Position x,0.280849206786324,0,306
FE_tank_surface_proxy,0.2762839285700773,0,8379
Vapour Height (m),0.2722083400094845,0,65
FE_log_pressure_x_volume,0.2601045621778751,0,9937
FE_inv_sensor_to_obstacle_center,0.23328857141009363,0,7724
FE_sensor_to_obstacle_center_distance,0.22678641906658986,0,8045
FE_abs_sensor_y,0.22510276526026457,0,275
FE_log_pressure_over_distance,0.21688122764033385,0,9989
FE_sensor_height_minus_tank_midheight,0.2101174886794235,0,1496
Obstacle Distance to BLEVE (m),0.20566663849534975,0,16
Tank Height (m),0.19695988965397665,0,70
Sensor Position z,0.1952511002850882,0,180
FE_tank_surface_to_volume,0.19126835878360715,0,8609
Sensor Position y,0.18948651044412593,0,415
FE_sensor_vertical_offset,0.18169087486281021,0,1541
FE_abs_sensor_z,0.17531002792115363,0,152
FE_sensor_z_over_distance,0.17063493640451527,0,9852
FE_sensor_height_minus_obstacle_midheight,0.16773015064234112,0,201
Tank Length (m),0.1643305136848306,0,240
FE_tank_footprint,0.16085322143673544,0,4301
FE_sensor_above_obstacle_midheight_flag,0.15450379362689104,0,2
FE_bleve_above_tank_midheight,0.15424053874439578,0,963
FE_obstacle_area,0.1535029021470655,0,77
FE_obstacle_projected_area_cos,0.15003043888884235,0,331
FE_sensor_below_bleve_flag,0.1491208436484564,0,2
FE_obstacle_shadow_ratio,0.1421969781019967,0,3991
FE_sensor_abs_vertical_offset,0.14071071962732537,0,1203
FE_bleve_height_ratio,0.14003622704560525,0,2797
FE_liquid_ratio_raw,0.13884397412506555,0,81
Liquid Ratio (%),0.13884397412506555,0,81
FE_vapour_ratio_fraction,0.13884397412506555,0,81
FE_liquid_ratio_percent_scale,0.13884397412506555,0,81
FE_liquid_ratio_fraction,0.13884397412506555,0,81
FE_liquid_height_ratio,0.1370915646996511,0,1953
FE_vapour_height_ratio,0.13646780640389758,0,2021
FE_obstacle_volume_proxy,0.12960619275319807,0,1281
FE_liquid_volume_ratio_proxy,0.11964079940545126,0,8982
Obstacle Height (m),0.11367813335070022,0,16
